objectid,nomor_lokasi,nama_objek,kecamatan,kabupaten,provinsi,komoditi,status_penyelidikan,jenis_izin,bijih_terbukti,logam_terbukti,luas_wilayah,kategori_luas,license_status,durasi_izin_tahun,tanggal_berlaku_sk,tanggal_berakhir_sk,latitude,longitude,jarak_pelabuhan_km,jarak_jalan_km,jarak_smelter_km,kategori_akses_pelabuhan,produksi_tahunan_ton,produksi_aktual_harian_ton,target_produksi_harian_ton,pencapaian_pct,status_pencapaian,biaya_penambangan_per_ton,biaya_pengangkutan_per_ton,biaya_penanganan_pelabuhan_per_ton,biaya_pemrosesan_smelter_per_ton,aisc_per_ton,pct_biaya_penambangan,pct_biaya_smelter,pct_biaya_angkut,pct_biaya_pelabuhan,jenis_kontrak,pembeli_offtaker,harga_nikel_historis_per_ton,nilai_tukar_rp_usd,capex_opex,margin_kotor_per_ton,status_profitabilitas,jumlah_ekskavator,jumlah_truk_tambang,konsumsi_bbm_liter,jam_downtime,ketersediaan_fisik_pa_pct,penggunaan_ketersediaan_ua_pct,ton_per_ekskavator,ton_per_truk,jumlah_insiden,indikator_fatalitas,ltifr,trifr,kategori_k3
1394,1374000000,Nikel Ganda ganda,PETASIA,MOROWALI UTARA,SULAWESI TENGAH,Nikel,EKSPLORASI,IUP,0,0,200.0,Kecil (<1000 Ha),Active,20.0,2012-04-19,2032-04-12,-1.8921,121.3467,24412.79,590.46,19801.43,Jauh (>150 km),1289718,3121,3114,100.22,Tercapai,291091,65640,53873,503527,914131,31.8,55.1,7.2,5.9,Spot Contract,PT GNI,283560017,15827,CAPEX,282645886,Profitable,28,50,8524,39.9,96.57,77.99,46061.0,25794.0,1,Tidak,0.5,2.47,Perlu Perhatian
1657,2860000000,Nikel Towi,SAYO JAYA,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,15300000,189567,160.0,Kecil (<1000 Ha),Active,21.0,2010-03-24,2031-03-25,-1.8607,121.341,11459.51,425.68,9266.78,Jauh (>150 km),1963433,3239,3377,95.91,Hampir Tercapai,244031,125609,76333,415824,861797,28.3,48.3,14.6,8.9,Spot Contract,PT Aneka Tambang,254736377,15827,CAPEX,253874580,Profitable,22,60,7565,27.3,92.72,83.71,89247.0,32724.0,1,Tidak,0.21,0.3,Aman
1598,2576000000,Nikel Solonsa,WITA PONDA,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,534869825,51294016218,480.0,Kecil (<1000 Ha),Active,19.0,2010-10-16,2029-10-16,-2.223,121.542,27275.63,1787.49,39563.22,Jauh (>150 km),1603628,3142,3315,94.78,Hampir Tercapai,383573,99209,36205,777910,1296897,29.6,60.0,7.6,2.8,FOB Motorship,PT Vale Indonesia,342221033,15673,OPEX,340924136,Profitable,16,49,8694,29.1,86.64,70.46,100227.0,32727.0,1,Tidak,0.41,1.92,Perlu Perhatian
1401,1381000000,Nikel Keurea,BAHODOPI,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,775.0,Kecil (<1000 Ha),Active,10.2,2022-02-16,2032-04-19,-2.795,122.102,7111.48,51.94,1880.69,Jauh (>150 km),1641709,4497,4609,97.57,Hampir Tercapai,342383,134973,42894,443299,963549,35.5,46.0,14.0,4.5,CIF,PT Vale Indonesia,256188547,15645,OPEX,255224998,Profitable,10,63,8098,48.4,86.87,78.0,164171.0,26059.0,2,Tidak,0.37,0.37,Perlu Perhatian
1596,2574000000,Nikel Lalampu 1,BAHODOPI,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,775.0,Kecil (<1000 Ha),Active,10.2,2022-02-16,2032-04-19,-2.7957,122.1025,7042.0,14.48,1925.17,Jauh (>150 km),1576215,1718,1666,103.12,Tercapai,264044,85999,34751,703782,1088576,24.3,64.7,7.9,3.2,CIF,PT GNI,270590244,15918,OPEX,269501668,Profitable,23,53,19681,48.4,94.01,87.5,68531.0,29740.0,2,Tidak,0.23,1.56,Aman
1623,2805000000,Nikel Lalampu 2,BUNGKU SELATAN,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,775.0,Kecil (<1000 Ha),Active,10.2,2022-02-16,2032-04-19,-2.8126,122.0757,9910.42,888.49,1963.14,Jauh (>150 km),1679096,1787,1739,102.76,Tercapai,312704,149882,64646,496099,1023331,30.6,48.5,14.6,6.3,CIF,PT IMIP,252550156,15603,OPEX,251526825,Profitable,14,69,5216,43.5,87.25,82.2,119935.0,24335.0,0,Tidak,0.46,1.94,Perlu Perhatian
1386,1366000000,Nikel Longgona Barat,PAGIMANA,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,199.0,Kecil (<1000 Ha),Active,9.1,2023-01-30,2032-03-22,-0.812,122.605,6301.64,35.42,189780.63,Jauh (>150 km),1269839,2293,2530,90.63,Hampir Tercapai,321086,130700,62200,534250,1048236,30.6,51.0,12.5,5.9,FOB Motorship,PT Vale Indonesia,297128311,15525,CAPEX,296080075,Profitable,25,57,17217,13.4,91.59,78.88,50794.0,22278.0,1,Tidak,0.2,1.03,Aman
1558,2536000000,Nikel Longkoga Barat 1,BUALEMO,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4335.0,Menengah (1000-5000 Ha),Expired,,2017-04-19,,-0.6975,123.0335,38503.99,2700.9,235028.23,Jauh (>150 km),692170,3148,3395,92.72,Hampir Tercapai,299121,72394,79365,509562,960442,31.1,53.1,7.5,8.3,CIF,PT Vale Indonesia,309961889,15522,CAPEX,309001447,Profitable,20,45,23935,31.7,97.89,88.72,34609.0,15382.0,1,Tidak,0.28,0.23,Aman
1559,2537000000,Nikel Singkoyo,TOILI,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4100.0,Menengah (1000-5000 Ha),Active,19.7,2015-09-02,2035-05-15,-1.4162,122.3216,34303.65,148.31,125555.79,Jauh (>150 km),1759622,3883,4151,93.54,Hampir Tercapai,294870,122554,57115,729808,1204347,24.5,60.6,10.2,4.7,CIF,PT IMIP,282067308,15984,CAPEX,280862961,Profitable,19,62,20076,44.5,85.05,87.08,92612.0,28381.0,0,Tidak,0.05,1.57,Aman
1560,2538000000,Nikel Piondo,TOILI BARAT,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4100.0,Menengah (1000-5000 Ha),Active,19.7,2015-09-02,2035-05-15,-1.4652,122.246,44306.75,20.71,11559.32,Jauh (>150 km),1175578,3197,3411,93.73,Hampir Tercapai,211041,78689,37529,413123,740382,28.5,55.8,10.6,5.1,Spot Contract,PT Vale Indonesia,257156449,15700,OPEX,256416067,Profitable,13,49,12460,21.9,85.22,76.44,90429.0,23991.0,2,Tidak,0.11,2.48,Perlu Perhatian
1656,2859000000,Nikel Tamainusi 3,SAYO JAYA,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,27190000,0,339.0,Kecil (<1000 Ha),Active,10.0,2023-09-20,2033-09-20,-1.8369,121.221,19993.9,667.64,16150.84,Jauh (>150 km),1250527,3162,3208,98.57,Hampir Tercapai,290492,84979,52544,540915,968930,30.0,55.8,8.8,5.4,Spot Contract,PT Aneka Tambang,261615506,15556,CAPEX,260646576,Profitable,24,53,5247,9.5,97.91,80.89,52105.0,23595.0,0,Tidak,0.42,0.79,Perlu Perhatian
1402,1383000000,Nikel Laro Enai 1,BUNGKU SELATAN,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,33500000,33124,199.0,Kecil (<1000 Ha),Active,16.7,2013-11-25,2030-08-20,-3.055,122.245,28766.07,170.31,2924.61,Jauh (>150 km),1056197,5048,5245,96.24,Hampir Tercapai,269655,75043,34420,511741,890859,30.3,57.4,8.4,3.9,FOB Motorship,PT GNI,343338835,15983,OPEX,342447976,Profitable,13,39,21516,41.5,92.6,79.8,81246.0,27082.0,1,Tidak,0.2,0.64,Aman
1293,273000000,Nikel Bahomoahi,BAHODOPI,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,202719110,249802896770,20765.0,Besar (>5000 Ha),Active,4.6,2022-12-30,2027-07-20,-2.698,121.975,24332.33,220.81,7362.85,Jauh (>150 km),773824,1869,2060,90.73,Hampir Tercapai,363650,118221,63545,509182,1054598,34.5,48.3,11.2,6.0,Spot Contract,PT IMIP,330591685,15581,CAPEX,329537087,Profitable,18,39,4066,26.7,86.65,82.64,42990.0,19842.0,0,Tidak,0.2,0.49,Aman
1480,1948000000,Nikel Lamantoli,BUNGKU PESISIR,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,17600000,156464,18677.0,Besar (>5000 Ha),Active,18.6,2017-06-09,2036-01-16,-3.148,122.405,17229.19,930.28,18527.68,Jauh (>150 km),1890147,3579,3744,95.59,Hampir Tercapai,373020,76287,63709,477176,990192,37.7,48.2,7.7,6.4,Spot Contract,PT Vale Indonesia,343690653,15685,OPEX,342700461,Profitable,26,55,18307,30.4,96.66,76.68,72698.0,34366.0,0,Tidak,0.12,1.48,Aman
1294,274000000,Nikel Molino,PETASIA TIMUR,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,33500000,391615,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.149,121.479,23370.32,0.57,28801.44,Jauh (>150 km),1672351,3545,3623,97.85,Hampir Tercapai,350083,113879,72882,764978,1301822,26.9,58.8,8.7,5.6,Spot Contract,PT IWIP,303080382,15511,CAPEX,301778560,Profitable,28,41,18089,49.2,96.44,74.88,59727.0,40789.0,2,Tidak,0.25,1.57,Aman
1506,2157000000,Nikel Keuno,PETASIA TIMUR,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,18600000,217434,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.172,121.492,26249.23,878.64,31702.35,Jauh (>150 km),1465797,3058,3341,91.53,Hampir Tercapai,206178,108244,46986,551448,912856,22.6,60.4,11.9,5.1,Spot Contract,PT IWIP,304605406,15873,OPEX,303692550,Profitable,29,69,8030,32.3,91.97,88.25,50545.0,21243.0,0,Tidak,0.4,2.02,Perlu Perhatian
1507,2158000000,Nikel Towara,PETASIA TIMUR,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,1700000,21301,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.095,121.451,10812.48,866.62,22197.17,Jauh (>150 km),1103621,4829,4711,102.5,Tercapai,368245,125079,45506,567282,1106112,33.3,51.3,11.3,4.1,CIF,PT Aneka Tambang,328599681,15884,OPEX,327493569,Profitable,29,64,19537,24.1,93.08,88.48,38056.0,17244.0,0,Tidak,0.45,1.93,Perlu Perhatian
1508,2159000000,Nikel Tompira,PETASIA TIMUR,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,11700000,135135,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.084,121.41,10211.08,461.18,18508.65,Jauh (>150 km),1734142,2264,2494,90.78,Hampir Tercapai,279287,149352,33562,554067,1016268,27.5,54.5,14.7,3.3,Spot Contract,PT Aneka Tambang,311663893,15916,OPEX,310647625,Profitable,21,59,7684,21.6,88.55,86.87,82578.0,29392.0,2,Tidak,0.04,2.25,Perlu Perhatian
1509,2160000000,Nikel Putemata,PETASIA TIMUR,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.108,121.418,1250.57,2683.88,21239.84,Jauh (>150 km),1318143,5516,5310,103.88,Tercapai,283273,50882,50757,792086,1176998,24.1,67.3,4.3,4.3,Spot Contract,PT Aneka Tambang,293644075,15644,CAPEX,292467077,Profitable,14,60,8738,23.8,85.66,89.56,94153.0,21969.0,2,Tidak,0.29,2.05,Perlu Perhatian
1510,2161000000,Nikel Cengkeh,LEMBO,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,37800000,439236,4778.0,Menengah (1000-5000 Ha),Active,18.1,2012-01-05,2030-01-28,-2.103,121.366,12885.76,1349.13,18453.93,Jauh (>150 km),1165121,2524,2759,91.48,Hampir Tercapai,389029,149027,53765,535603,1127424,34.5,47.5,13.2,4.8,Spot Contract,PT IWIP,279189440,15680,CAPEX,278062016,Profitable,26,55,21051,10.3,92.73,84.9,44812.0,21184.0,0,Tidak,0.23,0.77,Aman
1389,1369000000,Nikel Lembah Kramat,TOILI BARAT,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,198.0,Kecil (<1000 Ha),Active,9.2,2022-12-12,2032-03-05,-1.571,122.085,3577.53,2870.35,94338.72,Jauh (>150 km),1175689,3730,3634,102.64,Tercapai,373459,60935,67724,536674,1038792,36.0,51.7,5.9,6.5,FOB Motorship,PT IWIP,298550740,16015,OPEX,297511948,Profitable,26,37,24561,40.8,88.83,85.29,45219.0,31775.0,0,Tidak,0.31,1.48,Perlu Perhatian
1561,2539000000,Nikel Blok Gunung Keramat,TOILI BARAT,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,3447.0,Menengah (1000-5000 Ha),Active,19.5,2015-09-02,2035-03-05,1.5975,122.0832,34213.44,971.35,92917.98,Jauh (>150 km),840858,3659,3534,103.54,Tercapai,210176,102677,67688,531169,911710,23.1,58.3,11.3,7.4,Spot Contract,PT IWIP,256397254,15951,CAPEX,255485544,Profitable,29,48,9558,42.7,93.63,85.25,28995.0,17518.0,2,Tidak,0.22,0.88,Aman
1562,2540000000,Nikel Blok Rata,TOILI BARAT,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,3447.0,Menengah (1000-5000 Ha),Active,19.5,2015-09-02,2035-03-05,-1.5733,122.1406,41130.76,513.74,99840.96,Jauh (>150 km),638203,5113,4884,104.69,Tercapai,271966,84088,37012,530786,923852,29.4,57.5,9.1,4.0,Spot Contract,PT IWIP,269244833,15520,OPEX,268320981,Profitable,23,52,23348,17.8,95.87,79.61,27748.0,12273.0,2,Tidak,0.2,0.96,Aman
1304,288000000,Nikel Sambalagi,BUNGKU SELATAN,MOROWALI,SULAWESI TENGAH,Nikel,EKSPLORASI,IUP,0,0,1963.0,Menengah (1000-5000 Ha),Active,15.0,2011-10-27,2026-10-20,-3.068,122.259,24412.79,590.46,19801.43,Jauh (>150 km),1331877,3264,3199,102.03,Tercapai,349941,113902,44256,435892,943991,37.1,46.2,12.1,4.7,Spot Contract,PT IMIP,323746044,15880,OPEX,322802053,Profitable,12,67,23178,18.7,85.24,79.13,110990.0,19879.0,2,Tidak,0.24,2.34,Perlu Perhatian
1665,2945000000,Nikel Blok 1,BUNGKU BARAT,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,125284800,149088912,5690.0,Besar (>5000 Ha),Active,20.0,2014-09-15,2034-09-15,-2.388,121.728,53599.06,6394.2,38564.46,Jauh (>150 km),1831834,2609,2566,101.68,Tercapai,307769,122173,55573,641710,1127225,27.3,56.9,10.8,4.9,Spot Contract,PT IMIP,336805393,15947,OPEX,335678168,Profitable,20,42,20157,44.3,92.74,74.8,91592.0,43615.0,1,Tidak,0.29,1.77,Aman
1658,2861000000,Nikel Sumbatu 1,BAHODOPI,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,33100000,355684,1942.0,Menengah (1000-5000 Ha),Active,20.0,2010-08-12,2030-08-11,-2.8126,122.076,9877.12,731.34,1945.2,Jauh (>150 km),595725,1483,1488,99.66,Hampir Tercapai,251522,135997,46752,410081,844352,29.8,48.6,16.1,5.5,Spot Contract,PT IWIP,260178598,15807,OPEX,259334246,Profitable,18,52,6941,6.1,88.01,82.9,33096.0,11456.0,0,Tidak,0.25,2.44,Perlu Perhatian
1604,2787000000,Nikel Blok Cetara Lalampu,BUNGKU SELATAN,MOROWALI,SULAWESI TENGAH,Nikel,EKSPLORASI,IUP,5800000,68614,199.0,Kecil (<1000 Ha),Active,10.0,2021-10-19,2031-10-18,-2.781,122.0746,24412.79,590.46,19801.43,Jauh (>150 km),1787436,2940,2891,101.69,Tercapai,304955,90197,31277,490380,916809,33.3,53.5,9.8,3.4,FOB Motorship,PT Vale Indonesia,259690686,15851,OPEX,258773877,Profitable,26,47,10287,28.4,96.36,75.79,68748.0,38031.0,2,Tidak,0.24,1.16,Aman
1624,2806000000,Nikel Kolo Bawah,MAMOSALATO,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,230000,25641,1995.0,Menengah (1000-5000 Ha),Active,9.7,2022-08-02,2032-04-18,-1.6829,121.898,1156.51,81.35,70250.17,Jauh (>150 km),1741446,4405,4787,92.02,Hampir Tercapai,373321,143293,72284,480845,1069743,34.9,44.9,13.4,6.8,Spot Contract,PT GNI,258555764,15500,CAPEX,257486021,Profitable,17,39,18231,25.9,88.3,75.16,102438.0,44652.0,0,Tidak,0.41,1.44,Perlu Perhatian
1563,2541000000,Nikel Blok Gunung Keramat 1,TOILI BARAT,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4398.0,Menengah (1000-5000 Ha),Active,19.6,2015-09-02,2035-03-28,-1.5105,122.209,51067.82,191.92,109673.52,Jauh (>150 km),915139,1412,1440,98.06,Hampir Tercapai,244657,82243,66563,516595,910058,26.9,56.8,9.0,7.3,FOB Motorship,PT GNI,329157817,15516,CAPEX,328247759,Profitable,16,38,24983,36.1,92.94,81.72,57196.0,24083.0,0,Tidak,0.37,1.32,Perlu Perhatian
1564,2542000000,Nikel Sumber Agung,NUHON,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4677.0,Menengah (1000-5000 Ha),Active,19.5,2015-09-02,2035-02-22,-0.9889,122.1842,53598.08,231.76,142569.14,Jauh (>150 km),1447496,4958,5074,97.71,Hampir Tercapai,349213,70386,56003,702659,1178261,29.6,59.6,6.0,4.8,Spot Contract,PT GNI,281122310,15519,CAPEX,279944049,Profitable,11,47,21103,12.4,92.2,78.2,131591.0,30798.0,2,Tidak,0.17,0.45,Aman
1565,2543000000,Nikel Sumber Mulya,BUNTA,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4677.0,Menengah (1000-5000 Ha),Active,19.5,2015-09-02,2035-02-22,-0.9596,122.2337,50716.23,43.13,148685.85,Jauh (>150 km),747843,3729,3625,102.87,Tercapai,346952,87913,45874,639798,1120537,31.0,57.1,7.8,4.1,Spot Contract,PT GNI,282676428,15587,CAPEX,281555891,Profitable,26,37,12825,35.1,90.15,74.38,28763.0,20212.0,1,Tidak,0.4,0.74,Perlu Perhatian
1566,2544000000,Nikel Donda,BUNTA,BANGGAI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,4677.0,Menengah (1000-5000 Ha),Active,19.5,2015-09-02,2035-02-22,-0.9263,122.2857,44016.31,968.53,155336.79,Jauh (>150 km),1637131,1915,1975,96.96,Hampir Tercapai,377141,102854,72136,796323,1348454,28.0,59.1,7.6,5.3,Spot Contract,PT Vale Indonesia,251246565,16044,OPEX,249898111,Profitable,25,37,8940,22.0,93.81,86.32,65485.0,44247.0,0,Tidak,0.43,1.41,Perlu Perhatian
1390,1370000000,Nikel Molino 1,LEMBO,MOROWALI UTARA,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,0,0,3744.0,Menengah (1000-5000 Ha),Active,13.9,2016-01-19,2029-12-08,-2.162,121.385,19170.42,537.99,25307.26,Jauh (>150 km),1550784,2527,2638,95.79,Hampir Tercapai,259588,116815,31764,540479,948646,27.4,57.0,12.3,3.3,FOB Motorship,PT Aneka Tambang,347259975,15848,CAPEX,346311329,Profitable,10,47,24167,32.8,94.44,87.21,155078.0,32995.0,0,Tidak,0.08,0.35,Aman
1398,1378000000,Nikel Tangofa,BAHODOPI,MOROWALI,SULAWESI TENGAH,Nikel,OPERASI PRODUKSI,IUP,49500000,641508,5983.0,Besar (>5000 Ha),Active,10.9,2020-07-10,2031-05-26,-2.9391,122.1686,14536.3,3300.31,11876.03,Jauh (>150 km),1031788,3656,3671,99.59,Hampir Tercapai,243184,133283,52319,771410,1200196,20.3,64.3,11.1,4.4,FOB Motorship,PT IMIP,293403561,15930,CAPEX,292203365,Profitable,18,42,9800,6.8,92.37,73.35,57322.0,24566.0,1,Tidak,0.29,2.34,Perlu Perhatian
