Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),Produksi Tahunan (ton),Target Produksi Harian (ton),Produksi Aktual Harian (ton),Pencapaian (%),Jumlah Ekskavator,Jumlah Truk Tambang,Ketersediaan Fisik (PA) %,Penggunaan Ketersediaan (UA) %,Jam Downtime,Konsumsi BBM (Liter),Biaya Penambangan per Ton (Rp),Biaya Pengangkutan per Ton (Rp),Biaya Penanganan Pelabuhan per Ton (Rp),Biaya Pemrosesan Smelter per Ton (Rp),AISC per Ton (Rp),CAPEX / OPEX,TRIFR,LTIFR,Jumlah Insiden,Indikator Fatalitas,Harga Nikel Historis (Rp/Ton),Nilai Tukar (Rp/USD),Pembeli / Offtaker,Jenis Kontrak,License_Duration_Years,License_Status
Petasia,Morowali Utara,Nikel Ganda ganda,1374000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ganda ganda,Sulawesi Tengah,Eksplorasi,0,0,-,"CV Rezky Utama, Persetujuan Laporan RKAB Tahun 2021",1394,121.3467,-1.8921,IUP,"Desa Ganda-Ganda Kec. Petasia, Morowali",200.0,2032-04-12,2012-04-19,24412793.0,590464.0,19801427.0,1289718,3114,3121,100.22,28,50,96.57,77.99,39.9,8524,291091,65640,53873,503527,914131,CAPEX,2.47,0.5,1,Tidak,283560017,15827,PT GNI,Spot Contract,19.994520547945207,Active
Sayo Jaya,Morowali Utara,Nikel Towi,2860000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,15300000,189567,-,"CV Surya Amindo Perkasa, Laporan RKAB Tahun 2021",1657,121.341,-1.8607,IUP,Desa Towi Kec. Soyo Jaya,160.0,2031-03-25,2010-03-24,11459512.0,425683.0,9266777.0,1963433,3377,3239,95.91,22,60,92.72,83.71,27.3,7565,244031,125609,76333,415824,861797,CAPEX,0.3,0.21,1,Tidak,254736377,15827,PT Aneka Tambang,Spot Contract,21.016438356164382,Active
Wita Ponda,Morowali,Nikel Solonsa,2576000000,Nikel,Ni,Logam Besi dan Paduan Besi,Solonsa,Sulawesi Tengah,Operasi Produksi,534869825,51294016218,Blok A-D,"PT Alaska Dwipa Perdana, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1598,121.542,-2.223,IUP,"Desa Solonsa, Solonsa Jaya dan Ungkaya Kec. Wita Ponda, Kab. Morowali",480.0,2029-10-16,2010-10-16,27275631.0,1787489.0,39563219.0,1603628,3315,3142,94.78,16,49,86.64,70.46,29.1,8694,383573,99209,36205,777910,1296897,OPEX,1.92,0.41,1,Tidak,342221033,15673,PT Vale Indonesia,FOB Motorship,19.013698630136986,Active
Bahodopi,Morowali,Nikel Keurea,1381000000,Nikel,Ni,Logam Besi dan Paduan Besi,Keurea,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang & fang Brothers, 2013",1401,122.102,-2.795,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,7111484.0,51944.0,1880686.0,1641709,4609,4497,97.57,10,63,86.87,78.0,48.4,8098,342383,134973,42894,443299,963549,OPEX,0.37,0.37,2,Tidak,256188547,15645,PT Vale Indonesia,CIF,10.178082191780822,Active
Bahodopi,Morowali,Nikel Lalampu 1,2574000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 1,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang and Fang Brothers (119 ha), Laporan RKAB Tahun 2022",1596,122.1025,-2.7957,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,7041997.0,14482.0,1925175.0,1576215,1666,1718,103.12,23,53,94.01,87.5,48.4,19681,264044,85999,34751,703782,1088576,OPEX,1.56,0.23,2,Tidak,270590244,15918,PT GNI,CIF,10.178082191780822,Active
Bungku Selatan,Morowali,Nikel Lalampu 2,2805000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 2,Sulawesi Tengah,Operasi Produksi,0,0,"Blok I dan Blok III, kadar Ni 0,4% s.d. 1,2%, 1,2 s.d. 1,8%, 1,8 s.d. 2,4%","PT Ang and Fang Brothers (576 ha), Laporan RKAB Tahun 2022",1623,122.0757,-2.8126,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,9910423.0,888488.0,1963137.0,1679096,1739,1787,102.76,14,69,87.25,82.2,43.5,5216,312704,149882,64646,496099,1023331,OPEX,1.94,0.46,0,Tidak,252550156,15603,PT IMIP,CIF,10.178082191780822,Active
Pagimana,Banggai,Nikel Longgona Barat,1366000000,Nikel,Ni,Logam Besi dan Paduan Besi,Longgona Barat,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bualemo,"PT Anugerah Sumber Bumi, Laporan Revisi RKAB Tahun 2020",1386,122.605,-0.812,IUP,Kecamatan Bualemo,199.0,2032-03-22,2023-01-30,6301642.0,35417.0,189780634.0,1269839,2530,2293,90.63,25,57,91.59,78.88,13.4,17217,321086,130700,62200,534250,1048236,CAPEX,1.03,0.2,1,Tidak,297128311,15525,PT Vale Indonesia,FOB Motorship,9.147945205479452,Active
Bualemo,Banggai,Nikel Longkoga Barat 1,2536000000,Nikel,Ni,Logam Besi dan Paduan Besi,Longkoga Barat 1,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bolaemo dan Blok Siuna,"PT Anugrah Bangun Makmur, Laporan RKAB Tahun 2020",1558,123.0335,-0.6975,IUP,"Kec. Pagimana, Banggai",4335.0,,2017-04-19,38503994.0,2700904.0,235028231.0,692170,3395,3148,92.72,20,45,97.89,88.72,31.7,23935,299121,72394,79365,509562,960442,CAPEX,0.23,0.28,1,Tidak,309961889,15522,PT Vale Indonesia,CIF,,Expired
Toili,Banggai,Nikel Singkoyo,2537000000,Nikel,Ni,Logam Besi dan Paduan Besi,Singkoyo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,27%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1559,122.3216,-1.4162,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100.0,2035-05-15,2015-09-02,34303648.0,148311.0,125555795.0,1759622,4151,3883,93.54,19,62,85.05,87.08,44.5,20076,294870,122554,57115,729808,1204347,CAPEX,1.57,0.05,0,Tidak,282067308,15984,PT IMIP,CIF,19.71232876712329,Active
Toili Barat,Banggai,Nikel Piondo,2538000000,Nikel,Ni,Logam Besi dan Paduan Besi,Piondo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,28%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1560,122.246,-1.4652,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100.0,2035-05-15,2015-09-02,44306751.0,20707.0,11559322.0,1175578,3411,3197,93.73,13,49,85.22,76.44,21.9,12460,211041,78689,37529,413123,740382,OPEX,2.48,0.11,2,Tidak,257156449,15700,PT Vale Indonesia,Spot Contract,19.71232876712329,Active
Sayo Jaya,Morowali Utara,Nikel Tamainusi 3,2859000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tamainusi 3,Sulawesi Tengah,Operasi Produksi,27190000,0,Tidak ada data kadar Ni,"PT Aulia Prima Perkasa, Persetejuan Laporan RKAB Tahun 2021",1656,121.221,-1.8369,IUP,"Kecamatan Soyo Jaya, Kabupaten Morowali Utara",339.0,2033-09-20,2023-09-20,19993903.0,667642.0,16150842.0,1250527,3208,3162,98.57,24,53,97.91,80.89,9.5,5247,290492,84979,52544,540915,968930,CAPEX,0.79,0.42,0,Tidak,261615506,15556,PT Aneka Tambang,Spot Contract,10.008219178082191,Active
Bungku Selatan,Morowali,Nikel Laro Enai 1,1383000000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai 1,Sulawesi Tengah,Operasi Produksi,33500000,33124,"Limonit Kadar 0,8 - 1,2%","PT Bima Cakra Perkasa Mineralindo, Laporan RKAB Tahun 2022",1402,122.245,-3.055,IUP,"Desa Laro'enai Kec. Bungku Selatan, Kab. Morowali",199.0,2030-08-20,2013-11-25,28766066.0,170305.0,2924612.0,1056197,5245,5048,96.24,13,39,92.6,79.8,41.5,21516,269655,75043,34420,511741,890859,OPEX,0.64,0.2,1,Tidak,343338835,15983,PT GNI,FOB Motorship,16.745205479452054,Active
Bahodopi,Morowali,Nikel Bahomoahi,273000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bohomakmur,Sulawesi Tengah,Operasi Produksi,202719110,249802896770,"Blok-1,3,4,5,8","PT Bintang Delapan Mineral, Laporan RKAB Tahun 2020",1293,121.975,-2.698,IUP,"Desa Bohomoahi, Bohomotefe, Lalampu, Lele, Dampala, Siumbatu, Bahodopi, Keurea Dan Fatufia Kec. Bungku Tengah dan Bahodopi",20765.0,2027-07-20,2022-12-30,24332333.0,220809.0,7362846.0,773824,2060,1869,90.73,18,39,86.65,82.64,26.7,4066,363650,118221,63545,509182,1054598,CAPEX,0.49,0.2,0,Tidak,330591685,15581,PT IMIP,Spot Contract,4.556164383561644,Active
Bungku Pesisir,Morowali,Nikel Lamantoli,1948000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamantoli,Sulawesi Tengah,Operasi Produksi,17600000,156464,Low-Medium-High Grade,"PT Bintang Sinar Perkasa, Laporan RKAB Tahun 2022",1480,122.405,-3.148,IUP,"Desa Lamontoli, Kec. Bungku Selatan, Kab. Morowali",18677.0,2036-01-16,2017-06-09,17229187.0,930283.0,18527678.0,1890147,3744,3579,95.59,26,55,96.66,76.68,30.4,18307,373020,76287,63709,477176,990192,OPEX,1.48,0.12,0,Tidak,343690653,15685,PT Vale Indonesia,Spot Contract,18.616438356164384,Active
Petasia Timur,Morowali Utara,Nikel Molino,274000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino,Sulawesi Tengah,Operasi Produksi,33500000,391615,"Kadar Ni 1,46% - 1,67%","PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1294,121.479,-2.149,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,23370324.0,566.0,28801437.0,1672351,3623,3545,97.85,28,41,96.44,74.88,49.2,18089,350083,113879,72882,764978,1301822,CAPEX,1.57,0.25,2,Tidak,303080382,15511,PT IWIP,Spot Contract,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Keuno,2157000000,Nikel,Ni,Logam Besi dan Paduan Besi,Keuno,Sulawesi Tengah,Operasi Produksi,18600000,217434,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1506,121.492,-2.172,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,26249231.0,878636.0,31702353.0,1465797,3341,3058,91.53,29,69,91.97,88.25,32.3,8030,206178,108244,46986,551448,912856,OPEX,2.02,0.4,0,Tidak,304605406,15873,PT IWIP,Spot Contract,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Towara,2158000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towara,Sulawesi Tengah,Operasi Produksi,1700000,21301,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1507,121.451,-2.095,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,10812484.0,866623.0,22197167.0,1103621,4711,4829,102.5,29,64,93.08,88.48,24.1,19537,368245,125079,45506,567282,1106112,OPEX,1.93,0.45,0,Tidak,328599681,15884,PT Aneka Tambang,CIF,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Tompira,2159000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tompira,Sulawesi Tengah,Operasi Produksi,11700000,135135,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1508,121.41,-2.084,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,10211082.0,461175.0,18508652.0,1734142,2494,2264,90.78,21,59,88.55,86.87,21.6,7684,279287,149352,33562,554067,1016268,OPEX,2.25,0.04,2,Tidak,311663893,15916,PT Aneka Tambang,Spot Contract,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Putemata,2160000000,Nikel,Ni,Logam Besi dan Paduan Besi,Putemata,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1509,121.418,-2.108,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,1250571.0,2683876.0,21239843.0,1318143,5310,5516,103.88,14,60,85.66,89.56,23.8,8738,283273,50882,50757,792086,1176998,CAPEX,2.05,0.29,2,Tidak,293644075,15644,PT Aneka Tambang,Spot Contract,18.076712328767123,Active
Lembo,Morowali Utara,Nikel Cengkeh,2161000000,Nikel,Ni,Logam Besi dan Paduan Besi,Cengkeh,Sulawesi Tengah,Operasi Produksi,37800000,439236,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1510,121.366,-2.103,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,12885762.0,1349126.0,18453927.0,1165121,2759,2524,91.48,26,55,92.73,84.9,10.3,21051,389029,149027,53765,535603,1127424,CAPEX,0.77,0.23,0,Tidak,279189440,15680,PT IWIP,Spot Contract,18.076712328767123,Active
Toili Barat,Banggai,Nikel Lembah Kramat,1369000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lembah Kramat,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bualemo,"PT Bumi Gemilang Perdana, Laporan RKAB Tahun 2020",1389,122.085,-1.571,IUP,Kecamatan Toili Barat,198.0,2032-03-05,2022-12-12,3577525.0,2870354.0,94338716.0,1175689,3634,3730,102.64,26,37,88.83,85.29,40.8,24561,373459,60935,67724,536674,1038792,OPEX,1.48,0.31,0,Tidak,298550740,16015,PT IWIP,FOB Motorship,9.235616438356164,Active
Toili Barat,Banggai,Nikel Blok Gunung Keramat,2539000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Gunung Keramat,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Bumi Makmur Gemilang, Laporan RKAB Tahun 2020",1561,122.0832,1.5975,IUP,"Kec. Toili, Banggai",3447.0,2035-03-05,2015-09-02,34213441.0,971351.0,92917978.0,840858,3534,3659,103.54,29,48,93.63,85.25,42.7,9558,210176,102677,67688,531169,911710,CAPEX,0.88,0.22,2,Tidak,256397254,15951,PT IWIP,Spot Contract,19.517808219178082,Active
Toili Barat,Banggai,Nikel Blok Rata,2540000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Rata,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Bumi Makmur Gemilang, Laporan RKAB Tahun 2020",1562,122.1406,-1.5733,IUP,"Kec. Toili, Banggai",3447.0,2035-03-05,2015-09-02,41130756.0,513739.0,99840962.0,638203,4884,5113,104.69,23,52,95.87,79.61,17.8,23348,271966,84088,37012,530786,923852,OPEX,0.96,0.2,2,Tidak,269244833,15520,PT IWIP,Spot Contract,19.517808219178082,Active
Bungku Selatan,Morowali,Nikel Sambalagi,288000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sambalagi,Sulawesi Tengah,Eksplorasi,0,0,"Kadar Ni 1% - 1,4%","PT Bumi Morowali Utama, 2015",1304,122.259,-3.068,IUP,Desa Laroenai Kec. Bungku Pesisir,1963.0,2026-10-20,2011-10-27,24412793.0,590464.0,19801427.0,1331877,3199,3264,102.03,12,67,85.24,79.13,18.7,23178,349941,113902,44256,435892,943991,OPEX,2.34,0.24,2,Tidak,323746044,15880,PT IMIP,Spot Contract,14.991780821917809,Active
Bungku Barat,Morowali,Nikel Blok 1,2945000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 1,Sulawesi Tengah,Operasi Produksi,125284800,149088912,Blok 1,"PT Bumi Routa Mining, Laporan RKAB Tahun 2022",1665,121.728,-2.388,IUP,"Desa Bahoea dan Wosu, Kec. Bungku Barat, kab. Morowali",5690.0,2034-09-15,2014-09-15,53599062.0,6394198.0,38564455.0,1831834,2566,2609,101.68,20,42,92.74,74.8,44.3,20157,307769,122173,55573,641710,1127225,OPEX,1.77,0.29,1,Tidak,336805393,15947,PT IMIP,Spot Contract,20.013698630136986,Active
Bahodopi,Morowali,Nikel Sumbatu 1,2861000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumbatu 1,Sulawesi Tengah,Operasi Produksi,33100000,355684,Blok 1 - Blok 6,"PT Cahaya Ginda Ganda, Laporan RKAB Tahun 2022",1658,122.076,-2.8126,IUP,"Siumbatu, Bahodopi, Morowali",1942.0,2030-08-11,2010-08-12,9877117.0,731344.0,1945202.0,595725,1488,1483,99.66,18,52,88.01,82.9,6.1,6941,251522,135997,46752,410081,844352,OPEX,2.44,0.25,0,Tidak,260178598,15807,PT IWIP,Spot Contract,20.01095890410959,Active
Bungku Selatan,Morowali,Nikel Blok Cetara Lalampu,2787000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Cetara Lalampu,Sulawesi Tengah,Eksplorasi,5800000,68614,Laterit,"PT Cetara Bangun Persada, Laporan RKAB Tahun 2020",1604,122.0746,-2.781,IUP,Desa Lalampu Kecamatan Bahodopi,199.0,2031-10-18,2021-10-19,24412793.0,590464.0,19801427.0,1787436,2891,2940,101.69,26,47,96.36,75.79,28.4,10287,304955,90197,31277,490380,916809,OPEX,1.16,0.24,2,Tidak,259690686,15851,PT Vale Indonesia,FOB Motorship,10.002739726027396,Active
Mamosalato,Morowali Utara,Nikel Kolo Bawah,2806000000,Nikel,Ni,Logam Besi dan Paduan Besi,Kolo Bawah,Sulawesi Tengah,Operasi Produksi,230000,25641,"Blok A dan Blok B, kadar NI 1,49% s.d. 1,71%","PT Ganesha Wana Utama, Laporan RKAB Tahun 2020",1624,121.898,-1.6829,IUP,Desa Kolo Bawah Kec. Mamosalato,1995.0,2032-04-18,2022-08-02,1156513.0,81349.0,70250172.0,1741446,4787,4405,92.02,17,39,88.3,75.16,25.9,18231,373321,143293,72284,480845,1069743,CAPEX,1.44,0.41,0,Tidak,258555764,15500,PT GNI,Spot Contract,9.717808219178082,Active
Toili Barat,Banggai,Nikel Blok Gunung Keramat 1,2541000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Gunung Keramat 1,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Bangun Perkasa, Laporan RKAB Tahun 2020",1563,122.209,-1.5105,IUP,"Kec Toili dan Toili Barat, Kab Banggai",4398.0,2035-03-28,2015-09-02,51067821.0,191917.0,109673516.0,915139,1440,1412,98.06,16,38,92.94,81.72,36.1,24983,244657,82243,66563,516595,910058,CAPEX,1.32,0.37,0,Tidak,329157817,15516,PT GNI,FOB Motorship,19.58082191780822,Active
Nuhon,Banggai,Nikel Sumber Agung,2542000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Agung,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,5%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1564,122.1842,-0.9889,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,53598078.0,231759.0,142569135.0,1447496,5074,4958,97.71,11,47,92.2,78.2,12.4,21103,349213,70386,56003,702659,1178261,CAPEX,0.45,0.17,2,Tidak,281122310,15519,PT GNI,Spot Contract,19.487671232876714,Active
