Name,Province,UNLCODE,Latitude,Longitude,VesselInPort,ExpectedArrival,RecentPortCalls,Type
LUWUK,SULAWESI TENGAH,IDLUW,-0.9496,122.7987,0,4,0,PORT
LUWUK ANCH,SULAWESI TENGAH,-,-1.0328,122.8977,0,0,0,ANCHORAGE
PAGIMANA,SULAWESI TENGAH,IDPGM,-0.7939,122.6588,0,0,0,PORT
BANGGAI,SULAWESI TENGAH,IDBGG,-1.5904,123.4971,0,0,0,PORT
BAKAU,SULAWESI TENGAH,-,-1.1352,119.3896,0,0,0,PORT
PANTOLOAN,SULAWESI TENGAH,IDPTL,-0.7134,119.8552,1,2,7,PORT
TOLITOLI,SULAWESI TENGAH,IDTLI,1.0421,120.8048,0,0,0,PORT
TOLITOLI ANCH,SULAWESI TENGAH,-,1.0385,120.7891,0,0,0,ANCHORAGE
GORONTALO,GORONTALO,IDGTO,0.5042,123.0606,0,2,0,PORT
ANGGREK,GORONTALO,IDAGR,0.8609,122.7971,0,0,0,PORT
LABUAN UKI,GORONTALO,-,0.8542,123.9328,0,0,0,PORT
AMURANG,SULAWESI UTARA,IDTZD,1.1935,124.5676,0,1,1,PORT
MANADO,SULAWESI UTARA,IDMDC,1.4933,124.8358,0,0,0,PORT
LIKUPANG,SULAWESI UTARA,-,1.7008,125.0162,1,1,1,PORT
BITUNG,SULAWESI UTARA,IDBIT,1.4365,125.1904,24,7,31,PORT
BITUNG ANCH,SULAWESI UTARA,-,1.4136,125.1659,19,0,30,ANCHORAGE
MELOGUANNE,SULAWESI UTARA,IDMNA,4.0,126.6833,0,0,2,PORT
KISAR,MALUKU,-,-8.0794,127.1479,0,0,0,PORT
LETI,MALUKU,-,-0.1685,127.6626,0,0,0,PORT
SAUMLAKI,MALUKU,IDSXK,-7.9829,131.2947,2,1,3,PORT
SAUMLAKI ANCH,MALUKU,-,-7.9875,131.2734,1,0,2,ANCHORAGE
DOBO,MALUKU,IDDOB,-5.7524,134.2115,0,0,0,PORT
TUAL,MALUKU,IDTUA,-5.6351,132.7407,12,5,9,PORT
TUAL ANCH,MALUKU,-,-5.5965,132.741,4,0,4,ANCHORAGE
BANDA NEIRA,MALUKU,IDNDA,-4.5248,129.8969,0,2,0,PORT
BULA,MALUKU,IDBUA,-3.099,130.5035,0,0,0,PORT
KOBI SADAR,MALUKU,-,-2.908,129.8119,0,1,0,PORT
MASOHI,MALUKU,-,-3.2956,128.9527,0,0,0,PORT
AMAHAI,MALUKU,IDAHI,-3.3386,128.9205,1,0,1,PORT
AMBON,MALUKU,IDAMQ,-3.6886,128.1811,6,3,19,PORT
AMBON ANCH,MALUKU,-,-3.678,128.1497,7,0,11,ANCHORAGE
WAYAME,MALUKU,-,-3.6651,128.1745,7,4,11,PORT
NAMROLE,MALUKU,IDNRE,-3.852,126.7256,0,0,0,PORT
TIFU,MALUKU,-,-3.7132,126.3997,0,0,0,PORT
NAMLEA,MALUKU,IDNAM,-3.2778,127.0877,0,1,2,PORT
OBI ISLAND,MALUKU UTARA,IDOBI,-1.5513,127.4012,21,15,39,PORT
JIKOTAMO,MALUKU UTARA,-,-1.3413,127.6562,0,0,0,PORT
KUPAL,MALUKU UTARA,-,-0.6679,127.4732,0,0,0,PORT
LABUHA,MALUKU UTARA,IDLAH,-0.6318,127.4792,0,0,0,PORT
BABANG,MALUKU UTARA,-,-0.6252,127.6051,1,0,0,PORT
GEBE,MALUKU UTARA,IDGEB,-0.1095,129.4452,4,3,2,OFFSHORE_TERMINAL
WEDA,MALUKU UTARA,IDWEB,0.327,127.8743,0,0,0,PORT
TERNATE,MALUKU UTARA,IDTTE,0.7794,127.3875,2,5,11,PORT
TERNATE ANCH,MALUKU UTARA,-,0.7937,127.4087,0,0,1,ANCHORAGE
TANJUNG BULI,MALUKU UTARA,IDTBU,0.8273,128.2594,1,0,1,PORT
TOBELO,MALUKU UTARA,IDTBO,1.7258,128.0172,0,0,0,PORT
GALELA,MALUKU UTARA,IDGLX,1.8252,127.8476,0,1,0,PORT
